#,Nome,Sq.,R.,PGv,MV,FM
6243,Borrelli,Cagliari,A,21,5.95,6.36
7347,Bowie,Verona,A,0,0.0,0.0
7325,Bozhinov,Pisa,D,1,5.0,4.5
5532,Bradaric,Verona,D,18,5.78,5.72
2788,Bremer,Juventus,D,13,6.46,7.27
4947,Brescianini,Fiorentina,C,8,6.06,6.75
7255,Britschgi,Parma,D,18,5.83,5.86
7249,Buksa,Udinese,A,12,5.92,6.12
2724,Buongiorno,Napoli,D,18,6.06,6.06
6966,Butez,Como,P,23,6.11,5.5
6039,Cabal,Juventus,D,7,6.07,6.86
2745,Calabresi,Pisa,D,15,5.83,5.67
7042,Calligaris,Inter,P,0,0.0,0.0
6519,Camarda,Lecce,A,16,5.66,5.62
